Date,Real,Prediccion_LSTM
2015-01-24,5811369.0,5162536.625069857
2015-01-25,179028.0,3429298.094323054
2015-01-26,9401803.0,10624170.11976093
2015-01-27,8392342.0,9352032.947963357
2015-01-28,7930037.0,8672557.044181287
2015-01-29,8024066.0,8119221.43929261
2015-01-30,9454954.0,7519866.461073399
2015-01-31,7354597.0,6928673.86692673
2015-02-01,225556.0,1225179.0762262794
2015-02-02,10291172.0,8700392.439661324
2015-02-03,8904680.0,10527210.806647062
2015-02-04,8136074.000000001,9872162.826898873
2015-02-05,7973915.999999999,9171500.816702664
2015-02-06,8439787.0,8077790.399321675
2015-02-07,6594669.0,7068966.925414383
2015-02-08,208209.0,0.0
2015-02-09,6477197.0,7571226.550785184
2015-02-10,6345089.0,5816184.413536668
2015-02-11,6393495.0,4880545.689611316
2015-02-12,6151076.0,4777039.811312735
2015-02-13,7212357.0,4751069.178180337
2015-02-14,6701361.0,4284364.046424389
2015-02-15,217257.0,2510441.3060860783
2015-02-16,9321996.0,10652201.708599627
2015-02-17,8299474.0,10683227.097038627
2015-02-18,8058389.999999999,9568957.09637469
2015-02-19,8031172.999999999,8393629.316350877
2015-02-20,8094451.0,7273016.347383857
2015-02-21,6290922.0,6443672.779035389
2015-02-22,199419.0,0.0
2015-02-23,5984980.0,6548589.953899801
2015-02-24,6021986.0,5460773.666241944
2015-02-25,6028364.0,6757491.459734619
2015-02-26,6471718.0,7274301.7840592265
2015-02-27,7778945.000000001,6496104.528696835
2015-02-28,7421745.0,4581005.628396809
2015-03-01,228942.0,2739582.424195558
2015-03-02,10933146.0,10269942.085260391
2015-03-03,9234921.0,9483834.16560638
2015-03-04,8421680.0,8665215.525717854
2015-03-05,8263354.0,8001260.182398438
2015-03-06,8504508.0,7218699.47568661
2015-03-07,6565020.0,6537877.981605053
2015-03-08,201341.0,0.0
2015-03-09,6765029.0,7000687.009398937
2015-03-10,6211021.0,5922439.775177598
2015-03-11,6272025.0,6778461.013101935
2015-03-12,6376255.0,7085587.8344781995
2015-03-13,6942094.0,6198541.208114862
2015-03-14,6625997.0,4358387.245382488
2015-03-15,244505.0,1168791.6473788845
2015-03-16,10877344.0,9233272.11058861
2015-03-17,8792886.0,8607356.99372065
2015-03-18,7993268.999999999,8347127.788587034
2015-03-19,8073881.0,7936720.896362722
2015-03-20,8291098.0,7321351.172522724
2015-03-21,6398094.0,6761717.9459091425
2015-03-22,235852.0,1128516.1353912356
2015-03-23,6788834.0,7822724.226018071
2015-03-24,6226359.0,6298517.45683831
2015-03-25,6073784.0,7177600.6688088775
2015-03-26,6362734.0,7829865.84936136
2015-03-27,7078009.0,6436973.516189456
2015-03-28,6829093.0,4337043.814105272
2015-03-29,226242.0,2348444.820016876
2015-03-30,12371453.0,9615589.11123085
2015-03-31,11222913.0,8514305.81529367
2015-04-01,11102030.0,8067963.148021638
2015-04-02,11400447.0,7394155.566512167
2015-04-03,242473.0,6608847.227338731
2015-04-04,9366558.0,9781224.428838968
2015-04-05,217211.0,1520299.2342287155
2015-04-06,272921.0,6658059.369949341
2015-04-07,7896155.0,7701324.032705128
2015-04-08,6790649.0,6592775.10441494
2015-04-09,6560475.0,6469050.204889953
2015-04-10,6669239.0,5954581.244704068
2015-04-11,6445499.0,4675394.993600309
2015-04-12,244956.0,1897602.4303007724
2015-04-13,11075002.0,9404735.851653516
2015-04-14,9166055.0,8910786.680814624
2015-04-15,8002511.0,8189553.982051015
2015-04-16,8396675.0,7459338.033605754
2015-04-17,8738327.0,6686302.884633005
2015-04-18,6569186.0,6113987.423174739
2015-04-19,237342.0,0.0
2015-04-20,6588863.0,6836494.453329265
2015-04-21,6039464.0,5406497.513921022
2015-04-22,6082195.0,6592782.507937908
2015-04-23,6153519.0,7003401.326007187
2015-04-24,6367560.0,6202675.150252283
2015-04-25,6305451.0,4545844.446939647
2015-04-26,234093.0,2866295.107958436
2015-04-27,10605500.0,10286896.15285778
2015-04-28,9302980.0,8929966.432504356
2015-04-29,9517703.0,8392210.616262078
2015-04-30,11327847.0,7733886.5776004195
2015-05-01,264231.0,6873634.226299703
2015-05-02,8764984.0,10261319.757323444
2015-05-03,249206.99999999997,2038649.7226908207
2015-05-04,10995906.0,7644504.770244598
2015-05-05,8778928.0,8788058.480569243
2015-05-06,8633577.0,8893966.802071035
2015-05-07,8550616.0,8578207.472913742
2015-05-08,8665512.0,7709685.386457443
2015-05-09,7157061.0,6755511.0173406005
2015-05-10,251720.0,366909.3652404621
2015-05-11,6732629.0,7469951.909221172
2015-05-12,6686277.0,6502196.7026593685
2015-05-13,8147927.0,6211212.337675095
2015-05-14,289247.0,5361275.870190322
2015-05-15,8596524.0,7756292.414423585
2015-05-16,6497847.0,4344852.6799560785
2015-05-17,255680.00000000003,2291260.0086097866
2015-05-18,10603240.0,10841086.864649296
2015-05-19,8925994.0,10948496.250432909
2015-05-20,8355497.0,9971651.368546784
2015-05-21,8228411.000000001,9013699.35183537
2015-05-22,8352281.0,7814912.583846152
2015-05-23,6773815.0,6726295.790267348
2015-05-24,261385.0,0.0
2015-05-25,299473.0,6241313.211183429
2015-05-26,7776413.0,8103934.089803457
2015-05-27,6876443.0,7572905.299618244
2015-05-28,6974793.0,7227654.96215713
2015-05-29,8372820.0,6538824.707104623
2015-05-30,7546769.0,4693661.335643828
